Transliteration,Grapheme
hä,ሀ
hu,ሁ
hi,ሂ
ha,ሃ
he,ሄ
hə,ህ
ho,ሆ
lä,ለ
lu,ሉ
li,ሊ
la,ላ
le,ሌ
lə,ል
lo,ሎ
ḥä,ሐ
ḥu,ሑ
ḥi,ሒ
ḥa,ሓ
ḥe,ሔ
ḥə,ሕ
ḥo,ሖ
mä,መ
mu,ሙ
mi,ሚ
ma,ማ
me,ሜ
mə,ም
mo,ሞ
śä,ሠ
śu,ሡ
śi,ሢ
śa,ሣ
śe,ሤ
śə,ሥ
śo,ሦ
rä,ረ
ru,ሩ
ri,ሪ
ra,ራ
re,ሬ
rə,ር
ro,ሮ
sä,ሰ
su,ሱ
si,ሲ
sa,ሳ
se,ሴ
sə,ስ
so,ሶ
ḳä,ቀ
ḳu,ቁ
ḳi,ቂ
ḳa,ቃ
ḳe,ቄ
ḳə,ቅ
ḳo,ቆ
ḳʷä,ቈ
ḳʷu,∅
ḳʷi,ቊ
ḳʷa,ቋ
ḳʷe,ቌ
ḳʷə,ቍ
ḳʷo,∅
bä,በ
bu,ቡ
bi,ቢ
ba,ባ
be,ቤ
bə,ብ
bo,ቦ
tä,ተ
tu,ቱ
ti,ቲ
ta,ታ
te,ቴ
tə,ት
to,ቶ
xä,ኀ
xu,ኁ
xi,ኂ
xa,ኃ
xe,ኄ
xə,ኅ
xo,ኆ
xʷä,ኈ
xʷu,∅
xʷi,ኊ
xʷa,ኋ
xʷe,ኌ
xʷə,ኍ
xʷo,∅
nä,ነ
nu,ኑ
ni,ኒ
na,ና
ne,ኔ
nə,ን
no,ኖ
ʾä,አ
ʾu,ኡ
ʾi,ኢ
ʾa,ኣ
ʾe,ኤ
ʾə,እ
ʾo,ኦ
kä,ከ
ku,ኩ
ki,ኪ
ka,ካ
ke,ኬ
kə,ክ
ko,ኮ
kʷä,ኰ
kʷu,∅
kʷi,ኲ
kʷa,ኳ
kʷe,ኴ
kʷə,ኵ
kʷo,∅
wä,ወ
wu,ዉ
wi,ዊ
wa,ዋ
we,ዌ
wə,ው
wo,ዎ
ʿä,ዐ
ʿu,ዑ
ʿi,ዒ
ʿa,ዓ
ʿe,ዔ
ʿə,ዕ
ʿo,ዖ
zä,ዘ
zu,ዙ
zi,ዚ
za,ዛ
ze,ዜ
zə,ዝ
zo,ዞ
yä,የ
yu,ዩ
yi,ዪ
ya,ያ
ye,ዬ
yə,ይ
yo,ዮ
dä,ደ
du,ዱ
di,ዲ
da,ዳ
de,ዴ
də,ድ
do,ዶ
gä,ገ
gu,ጉ
gi,ጊ
ga,ጋ
ge,ጌ
gə,ግ
go,ጎ
ɡʷä,ጐ
ɡʷu,∅
ɡʷi,ጒ
ɡʷa,ጓ
ɡʷe,ጔ
ɡʷə,ጕ
ɡʷo,∅
ṭä,ጠ
ṭu,ጡ
ṭi,ጢ
ṭa,ጣ
ṭe,ጤ
ṭə,ጥ
ṭo,ጦ
ṗä,ጰ
ṗu,ጱ
ṗi,ጲ
ṗa,ጳ
ṗe,ጴ
ṗə,ጵ
ṗo,ጶ
ṣä,ጸ
ṣu,ጹ
ṣi,ጺ
ṣa,ጻ
ṣe,ጼ
ṣə,ጽ
ṣo,ጾ
ḍä,ፀ
ḍu,ፁ
ḍi,ፂ
ḍa,ፃ
ḍe,ፄ
ḍə,ፅ
ḍo,ፆ
fä,ፈ
fu,ፉ
fi,ፊ
fa,ፋ
fe,ፌ
fə,ፍ
fo,ፎ
pä,ፐ
pu,ፑ
pi,ፒ
pa,ፓ
pe,ፔ
pə,ፕ
po,ፖ
 ,
